id,ürün fiyatı
0,112.81048
1,35.90379
2,37.81565
3,21.62798
4,43.606335
5,17.542469
6,18.858952
7,42.84192
8,40.175953
9,87.6354
10,14.175058
11,38.334026
12,32.665325
13,33.2524
14,29.606777
15,13.13752
16,41.635464
17,28.57742
18,27.460201
19,22.595491
20,21.466259
21,24.83124
22,44.388084
23,20.217922
24,17.428658
25,14.628775
26,21.092424
27,9.644501
28,25.421097
29,6.639314
30,9.563806
31,7.927534
32,2.4631517
33,5.1562433
34,11.356833
35,4.9576263
36,6.9451394
37,42.097656
38,16.643127
39,14.113563
40,24.24598
41,22.056501
42,11.704043
43,42.139393
44,25.556684
45,52.35013
46,53.608624
47,26.819561
48,41.325397
49,53.19564
50,40.132374
51,41.81652
52,13.9642105
53,51.752274
54,83.01653
55,54.24421
56,12.78121
57,18.250343
58,21.51569
59,24.459547
60,13.781521
61,15.480784
62,20.171717
63,23.926605
64,13.783698
65,16.086313
66,9.708357
67,9.318635
68,28.699484
69,28.497229
70,13.377175
71,17.261066
72,16.651447
73,13.592063
74,46.75269
75,47.20414
76,49.354073
77,52.154774
78,63.241833
79,108.81132
80,31.77934
81,42.72234
82,22.246708
83,45.627644
84,17.198832
85,19.04934
86,42.51479
87,41.26273
88,72.51604
89,14.001524
90,34.18261
91,33.6961
92,28.146425
93,27.18598
94,14.135588
95,39.98286
96,27.499605
97,27.871433
98,21.747263
99,20.974607
100,24.19158
101,46.434998
102,21.750727
103,17.05615
104,14.206865
105,21.896656
106,9.868983
107,25.102287
108,7.197891
109,10.234945
110,8.418777
111,2.490289
112,6.5248966
113,11.640438
114,4.988693
115,7.116233
116,39.907143
117,16.334667
118,12.528645
119,23.193752
120,21.249762
121,11.243601
122,41.662506
123,28.219194
124,51.57254
125,59.78237
126,29.168577
127,38.493988
128,52.115353
129,41.93848
130,40.83243
131,13.858331
132,52.394115
133,83.37115
134,61.693047
135,12.888719
136,16.673878
137,20.566046
138,24.215832
139,14.031563
140,16.828701
