id,ürün fiyatı
0,114.80633
1,37.716824
2,38.94802
3,22.765814
4,41.77303
5,18.25798
6,18.309187
7,42.906033
8,42.67248
9,86.23251
10,14.636537
11,36.10117
12,33.726776
13,31.109644
14,27.160685
15,13.221375
16,41.338074
17,27.394299
18,26.80856
19,20.914654
20,21.76478
21,23.24895
22,47.984783
23,22.04954
24,18.662333
25,14.298814
26,21.495104
27,9.966414
28,25.939524
29,6.8057723
30,9.436215
31,8.666855
32,2.4326265
33,5.3670096
34,12.0382185
35,6.176358
36,7.400344
37,41.858463
38,17.082258
39,13.72775
40,23.960457
41,23.740301
42,11.052598
43,41.270153
44,21.92965
45,54.99358
46,52.44257
47,25.520596
48,42.6097
49,51.449764
50,40.080986
51,40.650143
52,14.099685
53,50.919888
54,82.63727
55,57.529804
56,12.463319
57,19.721823
58,21.367329
59,24.17573
60,13.912738
61,16.142916
62,21.472597
63,23.785307
64,12.857093
65,16.702635
66,10.070439
67,9.987575
68,27.970945
69,29.42872
70,13.46948
71,18.343002
72,16.186546
73,13.432646
74,54.385082
75,51.356926
76,47.096127
77,53.040104
78,64.57951
79,109.33124
80,34.56967
81,43.84849
82,21.871038
83,44.653393
84,15.665215
85,19.394518
86,39.586243
87,40.7737
88,71.09123
89,12.468772
90,34.77643
91,32.842083
92,27.814224
93,28.135412
94,13.768144
95,37.80909
96,25.504698
97,25.400166
98,21.502584
99,21.34027
100,25.323
101,46.500828
102,21.75024
103,18.904062
104,15.066477
105,21.816366
106,9.853251
107,26.62522
108,12.222264
109,9.141649
110,8.366471
111,2.4679577
112,4.933986
113,10.837474
114,6.073815
115,6.1208425
116,38.10274
117,18.800869
118,14.172758
119,24.865187
120,22.407122
121,11.317601
122,44.061226
123,25.02651
124,49.787975
125,54.64777
126,26.831238
127,37.129078
128,49.52078
129,37.615192
130,35.78201
131,15.736696
132,52.13499
133,80.84448
134,64.16269
135,12.960925
136,17.181955
137,19.270948
138,25.645452
139,14.308535
140,17.005777
141,20.330435
142,24.794596
143,12.986993
144,15.9945755
145,9.691624
146,9.411576
147,32.048485
148,29.917288
149,13.001979
150,18.388372
151,16.85201
152,14.408214
153,46.63415
154,47.873295
155,50.973125
156,48.461895
157,54.71509
158,110.89232
159,37.443714
160,35.25481
161,25.532646
162,43.084423
163,16.361525
164,21.496782
165,45.288
166,39.813755
167,78.35799
168,14.230799
169,36.075527
170,30.780687
171,35.091553
172,28.211412
173,14.040478
174,38.714413
175,27.549715
176,28.245466
177,21.756266
178,20.436531
179,25.488317
180,46.81984
181,21.51338
182,17.31554
183,14.7751665
184,21.029812
185,9.866336
186,26.195517
187,8.243752
188,9.261435
189,8.314931
190,2.803373
191,5.2190814
192,11.100167
193,5.2592497
194,6.270768
195,38.99656
196,16.787048
197,13.794164
198,24.532717
199,22.982885
200,10.988877
